sample,fastq_1,fastq_dir
SHAH_H003842_T01_01_TR01,/data1/shahs3/isabl_raw_data/ont/sarcoma/Project_14199_F/merged/TCDO-SAR-061-FT-A_14199-F-1_R1_001.fastq.gz,
SHAH_H003975_T02_01_TR01,,/data1/shahs3/isabl_raw_data/ont/sarcoma/Project_14199_P/14199_P_10_1_1_1_1_1/20241022_1609_1H_PBA35976_4114a7c3/fastq_pass
